,0
0,AANAT1
1,ATPCL
2,Acbp2
3,Acbp5
4,Acox57D-d
5,Acsl
6,Act42A
7,Adar
8,Agpat2
9,Agpat4
10,Akap200
11,Akr1B
12,Aldh-III
13,AnxB9
14,ApepP
15,Atpalpha
16,CG10051
17,CG10425
18,CG10602
19,CG10650
20,CG10863
21,CG10960
22,CG11034
23,CG11149
24,CG11151
25,CG11200
26,CG11236
27,CG11247
28,CG11357
29,CG11453
30,CG1146
31,CG11961
32,CG12643
33,CG12744
34,CG12825
35,CG12910
36,CG12974
37,CG13102
38,CG13284
39,CG13300
40,CG13321
41,CG13398
42,CG13492
43,CG13704
44,CG13868
45,CG13895
46,CG13907
47,CG13912
48,CG14131
49,CG14435
50,CG14629
51,CG14767
52,CG15044
53,CG1513
54,CG15309
55,CG15347
56,CG15739
57,CG16791
58,CG17124
59,CG17292
60,CG17493
61,CG17597
62,CG17928
63,CG18585
64,CG18744
65,CG1927
66,CG1941
67,CG1946
68,CG2004
69,CG2247
70,CG2519
71,CG2865
72,CG30339
73,CG3036
74,CG30411
75,CG30460
76,CG31038
77,CG31098
78,CG31102
79,CG31122
80,CG31145
81,CG31198
82,CG31259
83,CG31288
84,CG31323
85,CG31463
86,CG31636
87,CG32549
88,CG32633
89,CG32750
90,CG33056
91,CG33127
92,CG33181
93,CG33966
94,CG34176
95,CG34401
96,CG34417
97,CG3609
98,CG3638
99,CG3699
100,CG3702
101,CG3734
102,CG3860
103,CG3902
104,CG3939
105,CG3987
106,CG4022
107,CG42336
108,CG42709
109,CG42788
110,CG4301
111,CG43313
112,CG43349
113,CG43658
114,CG43736
115,CG44008
116,CG44251
117,CG44838
118,CG4653
119,CG4734
120,CG4781
121,CG5011
122,CG5059
123,CG5096
124,CG5541
125,CG5590
126,CG5707
127,CG5819
128,CG5953
129,CG6845
130,CG7220
131,CG7227
132,CG7322
133,CG7328
134,CG7461
135,CG7470
136,CG7582
137,CG7737
138,CG7841
139,CG7970
140,CG8097
141,CG8665
142,CG8745
143,CG8773
144,CG8774
145,CG8785
146,CG8924
147,CG9084
148,CG9119
149,CG9302
150,CG9328
151,CG9331
152,CG9380
153,CG9436
154,CG9512
155,CG9527
156,CG9568
157,CG9673
158,CG9674
159,CG9743
160,CG9903
161,CNT2
162,Caf1-180
163,Cat
164,Cdk1
165,Cirl
166,Clic
167,Cln3
168,Cndp2
169,Cont
170,Ctr1B
171,Cyp12c1
172,Cyp311a1
173,Cyp4ad1
174,Cyp4d1
175,Cyp4e2
176,Cyp4p1
177,Cyp4p2
178,Cyp6a23
179,Cyp9f2
180,Cyp9f3
181,D2hgdh
182,Decay
183,Df31
184,Dg
185,Dgat2
186,Dip-B
187,Dl
188,DnaJ-1
189,Dscam1
190,Dyrk2
191,E(spl)m7-HLH
192,E(spl)malpha-BFM
193,EcR
194,Eglp2
195,Eip63E
196,Eno
197,Est-Q
198,Fas2
199,Fas3
200,Fdh
201,Fst
202,GILT1
203,Galk
204,Gdap2
205,GlcAT-S
206,GlyP
207,Gmap
208,Got1
209,Got2
210,Gpat4
211,GstE12
212,GstE3
213,GstT3
214,HmgD
215,Hnf4
216,Hr96
217,Hrb98DE
218,IKKepsilon
219,Idh
220,Incenp
221,Inx3
222,Inx7
223,Jheh3
224,Jupiter
225,Kaz-m1
226,LManV
227,LanA
228,LanB1
229,Ldsdh1
230,Lpin
231,Lsd-2
232,MFS14
233,MFS17
234,Mad
235,Mal-A3
236,Map60
237,Mapmodulin
238,Mcm3
239,Mec2
240,Mes2
241,Mfe2
242,Mgstl
243,MtnA
244,Mtpalpha
245,Myd88
246,Myo28B1
247,Myo61F
248,N
249,NFAT
250,NaCP60E
251,Naprt
252,Nlp
253,Nmda1
254,Npc1a
255,Npc1b
256,Nrg
257,Nrt
258,Oatp33Ea
259,Oatp33Eb
260,Oda
261,Orct2
262,PAPLA1
263,PCNA
264,PHGPx
265,PMP34
266,Pak3
267,Past1
268,Pdcd4
269,Pdi
270,Pdk
271,Pdxk
272,Pen
273,Pex6
274,Pfk
275,Pgant2
276,Pka-R2
277,PlexA
278,PyK
279,Rab32
280,RapGAP1
281,ReepA
282,RhoGAP71E
283,Rm62
284,RnrL
285,RnrS
286,Rrp1
287,S
288,SLC22A
289,Sccpdh2
290,Seipin
291,Sema1a
292,Sema5c
293,Sep1
294,Sfxn1-3
295,Socs36E
296,Sox21a
297,Sply
298,Spn55B
299,Sptr
300,Src64B
301,Ssk
302,St3
303,Sting
304,Stt3B
305,TM9SF2
306,Taldo
307,Tep4
308,Tet
309,Tpi
310,Tre1
311,Treh
312,Tsp29Fa
313,Tsp29Fb
314,Tsp2A
315,Tsp42Ee
316,UK114
317,Ugt302C1
318,Ugt303A1
319,Ugt303B3
320,Ugt35A1
321,Ugt37B1
322,Ugt37C2
323,Ugt37D1
324,Ugt49B1
325,Vha100-5
326,Vha13
327,Vha16-1
328,Vha26
329,Vha44
330,Vha55
331,VhaAC45
332,Ythdc1
333,Zasp52
334,akirin
335,alpha-Est1
336,alpha-Est4
337,alpha-Est5
338,alphaTub84B
339,aqz
340,asRNA:CR44029
341,asf1
342,betaTub56D
343,betaTub97EF
344,bip1
345,boi
346,brat
347,chn
348,chrb
349,cic
350,cin
351,cnc
352,cnn
353,comm2
354,cpo
355,dap
356,dmGlut
357,dpa
358,drk
359,drl
360,drm
361,drongo
362,eas
363,ed
364,edl
365,egr
366,elav
367,fa2h
368,fabp
369,fax
370,fkh
371,fzr
372,galla-1
373,gas
374,gbb
375,glec
376,glu
377,grsm
378,ham
379,how
380,ifc
381,jumu
382,kappaTry
383,kis
384,klu
385,kuk
386,l(2)dtl
387,l(3)05822
388,l(3)neo38
389,lili
390,lin-28
391,lncRNA:CR43314
392,lncRNA:Hsromega
393,lost
394,luna
395,mesh
396,mgl
397,mld
398,mre11
399,mtgo
400,mthl9
401,mura
402,ncd
403,nmo
404,odd
405,ome
406,osp
407,otk
408,path
409,pch2
410,pdm2
411,peb
412,pinta
413,pnt
414,pnut
415,polo
416,pum
417,puml
418,pyd
419,pyr
420,rgr
421,robo2
422,scra
423,scyl
424,sdt
425,shn
426,sob
427,spas
428,sphe
429,spidey
430,spri
431,stg
432,sug
433,tgy
434,tna
435,ttk
436,tum
437,tws
438,unc-13
439,unk
440,wb
441,wdp
442,wit
443,wls
444,yip2
445,zetaTry
446,zfh2
