Gene_name,Gene_name,biotype,gene_length,Ensembl_ID
Myo81F,Myo81F,protein_coding,6519,FBgn0267431
CR41571,CR41571,pseudogene,252,FBgn0085804
CR12798,CR12798,pseudogene,184,FBgn0039987
lncRNA:CR46123,lncRNA:CR46123,ncRNA,368,FBgn0267798
lncRNA:CR46122,lncRNA:CR46122,ncRNA,901,FBgn0267797
CR40182,CR40182,pseudogene,291,FBgn0058182
Pzl,Pzl,protein_coding,6490,FBgn0267430
lncRNA:CR45220,lncRNA:CR45220,ncRNA,497,FBgn0266747
spok,spok,protein_coding,1767,FBgn0086917
Parp,Parp,protein_coding,3112,FBgn0010247
Alg-2,Alg-2,protein_coding,1290,FBgn0086378
lncRNA:CR46141,lncRNA:CR46141,ncRNA,407,FBgn0267816
Tim17b,Tim17b,protein_coding,961,FBgn0263977
CG41128,CG41128,protein_coding,364,FBgn0069923
CG41099,CG41099,protein_coding,4390,FBgn0039955
CG42402,CG42402,protein_coding,5061,FBgn0259821
Gfat1,Gfat1,protein_coding,4155,FBgn0287209
lncRNA:CR41601,lncRNA:CR41601,ncRNA,614,FBgn0085812
CG40198,CG40198,protein_coding,1567,FBgn0058198
lncRNA:CR46431,lncRNA:CR46431,ncRNA,305,FBgn0286937
CG12581,CG12581,protein_coding,5461,FBgn0037213
CR33294,CR33294,pseudogene,2235,FBgn0053294
Dsk,Dsk,protein_coding,569,FBgn0000500
beta-Man,beta-Man,protein_coding,3247,FBgn0037215
CG14636,CG14636,protein_coding,1485,FBgn0037217
aux,aux,protein_coding,4542,FBgn0037218
CG31516,CG31516,protein_coding,1668,FBgn0051516
DhpD,DhpD,protein_coding,1590,FBgn0261436
CG14641,CG14641,protein_coding,1564,FBgn0037220
abs,abs,protein_coding,1995,FBgn0015331
Gel,Gel,protein_coding,3376,FBgn0010225
asRNA:CR46255,asRNA:CR46255,ncRNA,620,FBgn0267988
CG14642,CG14642,protein_coding,1414,FBgn0037222
CG34305,CG34305,protein_coding,300,FBgn0085334
TwdlU,TwdlU,pseudogene,1074,FBgn0037223
TwdlF,TwdlF,protein_coding,1235,FBgn0037224
TwdlG,TwdlG,protein_coding,2165,FBgn0037225
CG14644,CG14644,protein_coding,1095,FBgn0250821
TwdlV,TwdlV,protein_coding,1067,FBgn0037227
Or82a,Or82a,protein_coding,1158,FBgn0041621
CG1092,CG1092,protein_coding,1492,FBgn0037228
CG9766,CG9766,protein_coding,1502,FBgn0037229
lncRNA:CR45597,lncRNA:CR45597,ncRNA,385,FBgn0267157
cpx,cpx,protein_coding,11414,FBgn0041605
Nepl11,Nepl11,protein_coding,2182,FBgn0037230
mir-929,mir-929,pre_miRNA,88,FBgn0262214
Vps24,Vps24,protein_coding,3326,FBgn0037231
MP1,MP1,protein_coding,1525,FBgn0027930
asRNA:CR46140,asRNA:CR46140,ncRNA,926,FBgn0267815
Suv3,Suv3,protein_coding,3556,FBgn0037232
Syt14,Syt14,protein_coding,3871,FBgn0261086
CG9795,CG9795,protein_coding,3214,FBgn0037234
CG9776,CG9776,protein_coding,4260,FBgn0027866
Skp2,Skp2,protein_coding,2412,FBgn0037236
CG14645,CG14645,protein_coding,409,FBgn0040687
CG1103,CG1103,protein_coding,1392,FBgn0037235
hkb,hkb,protein_coding,1567,FBgn0261434
CG1090,CG1090,protein_coding,4026,FBgn0037238
lncRNA:CR44922,lncRNA:CR44922,ncRNA,2517,FBgn0266227
Sfxn1-3,Sfxn1-3,protein_coding,1788,FBgn0037239
Cont,Cont,protein_coding,4742,FBgn0037240
tub,tub,protein_coding,2006,FBgn0003882
CG14646,CG14646,protein_coding,1694,FBgn0037241
CG34112,CG34112,protein_coding,1233,FBgn0086608
asRNA:CR46139,asRNA:CR46139,ncRNA,1082,FBgn0267814
asRNA:CR45999,asRNA:CR45999,ncRNA,1924,FBgn0267661
CG9855,CG9855,protein_coding,1718,FBgn0037242
CG9853,CG9853,protein_coding,1995,FBgn0086605
CG14647,CG14647,protein_coding,1178,FBgn0037244
lncRNA:CR45187,lncRNA:CR45187,ncRNA,440,FBgn0266697
lost,lost,protein_coding,2691,FBgn0263594
CG32944,CG32944,protein_coding,3175,FBgn0052944
